title,height,width,year,drawingMaterial,support,price,sold,series,catalogueNumber,description
Cold River Porch,11,14,2009,Watercolor,paper,400,,Cold River Camp,,
CRC Cabin,11,14,2013,Watercolor,paper,400,,Cold River Camp,,
CRC Library 1,11,14,2010,Watercolor,paper,,TRUE,Cold River Camp,,
CRC Library 2,11,14,2010,Watercolor,paper,400,,Cold River Camp,,
CRC Porch 2,11,14,2014,Watercolor,paper,,TRUE,Cold River Camp,,
CRC Vatican City,11,14,2014,Watercolor,paper,,TRUE,Cold River Camp,,
Happy Hour at Cox,11,14,2014,Watercolor,paper,400,,Cold River Camp,,
Path to Emerald Pool,18,24,2016,Acrylic,canvas,1000,,Cold River Camp,,
Spring Haven Exterior,11,14,2013,Watercolor,paper,,TRUE,Cold River Camp,,
Spring Haven Interior,11,14,2013,Watercolor,paper,,TRUE,Cold River Camp,,
Tea House at Cold River,11,14,2009,Watercolor,paper,400,,Cold River Camp,,
Atwood and McGuff-Silverman Collaborative Painting,29,42,2014,Acrylic,canvas,1000,,Collaborative Work,,
Dad Dancing 1,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 10,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 11,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 12,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 13,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 14,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 15,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 16,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 17,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 18,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 19,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 2,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 20,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 3,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 4,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 5,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 6,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 7,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 8,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
Dad Dancing 9,5,7,2019,Acrylic,paper,,,"Dad Dancing, the Movie",,
"A R Wallace, Listening to a Tuba Player",11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Advice for the Queen,11,14,2007,Pencil,paper,150,TRUE,Drawings and Black and White Prints,,
Amalia's Pearls,11,14,2007,Pencil ,paper,150,,Drawings and Black and White Prints,,
Boats,6.5,9.5,1975,Graphite,paper,150,,Drawings and Black and White Prints,,
Cat's Spirit,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
"Cezanne and Hippos, Near Caravan",11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
"Children, Gloves, and Animals",11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Choosing a Tea Pot,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Contemplating the Universe,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
Desert Nights,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Ellis Island,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Farmers,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Feeding the Animals,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Fishing for God,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
Flight,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Frog Legs,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Full Moon,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Head of a Girl,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Horse Race on the Steppes,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
In Flight,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
In the Jungle,11,14,2007,Pencil ,paper,150,,Drawings and Black and White Prints,,
In the Tent,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Island Archeology,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
It is Spring,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Italian Sunglasses,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Japenese Physicist,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Judy's Granddaughter,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Listening,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Marching Until the Walls Come Down,11,14,2021,Pen and Ink,paper,150,TRUE,Drawings and Black and White Prints,,
Market Place,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Midnight in the Garden of Art and Science,11,14,2007,Ink ,paper,150,,Drawings and Black and White Prints,,
Naptime,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Nightmare at the Bayou,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
Observing Closely,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Othelia Sings in a Florida Mall,11,14,2020,Pen and Ink,paper,150,,Drawings and Black and White Prints,,
Partial Opening,11,14,2021,Pen and Ink,paper,150,,Drawings and Black and White Prints,,
Ponds Edge,11,14,2007,Pencil ,paper,150,,Drawings and Black and White Prints,,
Questions,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Recital,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
Resting,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
School Children,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Seated Model,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Silk Road,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
St John's Pond,11,14,2007,Ink,paper,150,,Drawings and Black and White Prints,,
Staying a Float,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
The Armchair Traveler,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
The Cosmic Car Theory,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
The Dance,11,14,2007,Pencil ,paper,150,,Drawings and Black and White Prints,,
The Hall,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
The Library,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
The Parade,11,14,2007,Ink ,paper,150,,Drawings and Black and White Prints,,
The Road to the Market,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
The Tall Tale,11,14,2007,Ink,paper,150,TRUE,Drawings and Black and White Prints,,
The Waiting Room,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
They Could Not Be Caught,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
They Talked of Religion,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
They Thought About the Day Over Coffee,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
They Waited,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Travel Picture,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Trump at Mount Rushmore,11,14,2020,Pen and Ink,paper,150,,Drawings and Black and White Prints,,
Under the Bridge,11,14,2007,Pencil,paper,150,,Drawings and Black and White Prints,,
Under the Island,11,14,2007,Pencil ,paper,150,,Drawings and Black and White Prints,,
While he Sat his Thoughts Wondered,11,14,2007,Ink ,paper,150,,Drawings and Black and White Prints,,
Wrestlers,11,14,2007,Ink ,paper,150,,Drawings and Black and White Prints,,
"WWI Soldier, Reaction to Gross Print",6.5,10,2017,Reed and Ink,paper,150,,Drawings and Black and White Prints,,
7 16 09 Morning,8,10,2009,Watercolor,paper,210,,Field and Lakes,,
7 23 09 Morning,8,10,2009,Watercolor,paper,250,,Field and Lakes,,
7 24 09 Morning,8,10,2009,Watercolor,paper,210,,Field and Lakes,,
7 24 09 Sunset,8,10,2009,Watercolor,paper,210,,Field and Lakes,,
Assunpink Fall Weeds,16,24,2014,Acrylic,canvas,960,,Field and Lakes,,
"Assunpink Lake, Evening",8,10,2020,Oil pastel,canvas,250,,Field and Lakes,,
Assunpink Stone Tavern Lake,18,24,2009,Acrylic,canvas,1000,,Field and Lakes,,
Assunpink Summer Fields,11,14,2015,Watercolor,paper,400,,Field and Lakes,,
"Back Pasture, San Antonio",11,14,2017,Acrylic,canvas,400,,Field and Lakes,,
Blueberry Irrigation Pond,16,20,2003,Oil,canvas,800,,Field and Lakes,288,
Brown Field,11,14,0,Watercolor,paper,400,,Field and Lakes,,
Camp Fire,10,10,2017,acrylic,canvas,,TRUE,Field and Lakes,,
Camp Fire 2,10,10,2017,Acrylic,canvas,260,,Field and Lakes,,
Camp Fire 3,10,10,2017,Acrylic,canvas,,TRUE,Field and Lakes,,
Clay Print 4,11,14,2010,Clay,fabric,400,,Field and Lakes,,
Dancing Fall Shadows,12,16,2020,Acrylic,canvas,500,,Field and Lakes,,
"December Field, Dawn",12,16,2021,Acrylic,canvas,500,,Field and Lakes,,
"Delaware Water Gap, Fall Field",11,14,0,Watercolor,paper,400,,Field and Lakes,,
Dorsey's Fishing Place,11,14,0,Watercolor,paper,,TRUE,Field and Lakes,,
