title,height,width,year,drawingMaterial,support,price,sold,series,catalogueNumber,description
Laurita Winery 1,4.5,5.5,2009,Watercolor,paper,210,,People,369,
Mexican Folk Dancers,11,14,2015,Watercolor,paper,400,,People,,
Mike in Cowboy and Horse Costume,4.5,7.5,2011,pastel,paper,210,,People,224,
Mike in Red Jacket,9,12,2007,Oil,canvas,,,People,186,
Mike Portrait,9.5,6,1992,pastel,paper,,,People,,
Mike the Fireman 1,4,5,2010,Watercolor,paper,210,,People,421,
Mike the Fireman 2,4,5,2010,Watercolor,paper,210,,People,422,
"Mike, Rope Bridge, Ocky",6.5,10.5,2011,Watercolor,paper,,,People,,
Mom,11,14,2017,Mix Media,paper,400,,People,,
Mom 2,8,10,2019,Acrylic,canvas,250,,People,,
Mom 3,8,10,2019,Acrylic,canvas,250,,People,,
Mom 4,8,10,2019,Acrylic,canvas,250,,People,,
Mom 5,8,10,2019,Acrylic,canvas,250,,People,,
Mom and Dad on the Deck,12,16,2019,Acrylic,paper,500,,People,,
"Mom and Dad, Cutting the Rug",11,14,2016,Acrylic,canvas,,TRUE,People,,
Mom and Dad's Wedding Still,18,24,2019,Acrylic,canvas,1000,,People,,
Mom and Dad's Wedding Still 2,18,24,2019,Acrylic,canvas,1000,,People,,
Mom and Dad's Wedding Still 3,18,24,2020,Acrylic,canvas,1000,,People,,
Mom and Roommates in Japan 1946,8,10,2020,Acrylic,canvas,250,,People,,
Mom Laughing,8,10,2019,Acrylic,canvas,250,,People,,
"New Clothes, Aug 30th",8,10,2016,Watercolor,paper,100,,People,,
Paul on the Mission Trail,11,14,2015,Watercolor,paper,,TRUE,People,,
Play Ball,5,7,2015,Acrylic,paper,210,,People,,
Ralph,11,14,2009,Colored Pencil,paper,75,,People,,
"Reading, Portal Into Your Imagination",11,14,2009,Watercolor,Paper,250,,People,,
Resting,11,14,2007,Ink,Paper,150,,People,,
Seated Figure Mardi Gras Beads,11,14,2009,Watercolor,paper,400,,People,,
Self Portrait 1,9,12,1976,Oil,canvas,,,People,,
Self Portrait 2,9,12,1976,Oil,canvas,,,People,,
Self Portrait 3,6,12,1975,Oil,canvas,,,People,,
Show Girl,9,12,2009,pastel,paper,400,,People,378,
Show Girls 2,7,11,2009,Watercolor,paper,400,,People,,
The Burkey Men,12,16,2019,Acrylic,paper,,TRUE,People,,
Waiting for the Bus,5,7,2013,Acrylic,paper,210,,People,,
Walking in Sunshine,4,5,2009,Watercolor,paper,210,,People,408,
Grow Beyond the Drip Line,10,10,2016,Acrylic,canvas,260,,Roots,,
Growth Rings,10,10,2016,Acrylic,canvas,260,,Roots,,
Putting Down Roots,20,20,2017,Acrylic,canvas,1000,,Roots,,
Uprooted 1,10,10,2017,Acrylic,canvas,260,,Roots,,
Uprooted 2,10,10,2017,Acrylic,canvas,260,,Roots,,
Uprooted 3,10,10,2017,Acrylic,canvas,260,,Roots,,
Uprooted 4,10,10,2017,Acrylic,canvas,260,,Roots,,
"Birds in Flight, Salt Marsh",18,24,2017,Acrylic,canvas,1000,,Salt Marsh,,
Ducks in Salt Marsh,20,20,2018,Acrylic collage,Canvas,1000,,Salt Marsh,,
"Salt Marsh, November",11,14,2016,Acrylic,canvas,400,,Salt Marsh,,
"Salt Marsh, November 2",11,14,2016,Acrylic,canvas,400,,Salt Marsh,,
"Salt Marsh, November 3",11,14,2016,Acrylic,canvas,400,,Salt Marsh,,
"Salt Marsh, September",11,14,2016,Acrylic,canvas,400,,Salt Marsh,,
Antelope,5,7,2019,Acrylic,canvas,150,,South Dakota Trip,,
Black Bill Magpie,5,7,2019,Acrylic,canvas,150,,South Dakota Trip,,
Black Hills Waterfall,8,10,2019,Acrylic,canvas,250,,South Dakota Trip,,
Buffalo,5,7,2019,Acrylic,canvas,150,,South Dakota Trip,,
Cows in Overcast Field,11,14,2019,Acrylic,canvas,400,,South Dakota Trip,,
Custer Park Buffalo,5,7,2019,Acrylic,canvas,150,,South Dakota Trip,,
Devil's Tower,20,20,2019,Acrylic,canvas,1000,,South Dakota Trip,,
Field and Devil's Tower,5,7,2019,Acrylic,canvas,150,,South Dakota Trip,,
Nebraska Cows,12,12,2019,Acrylic,canvas,460,,South Dakota Trip,,
Red and Blue Cows,5,7,2019,Acrylic,canvas,150,,South Dakota Trip,,
Turkeys,12,16,2019,Acrylic,canvas,,TRUE,South Dakota Trip,,
View from Corkscrew Road,8,10,2019,Acrylic,canvas,250,,South Dakota Trip,,
Botanical Still Life,11,14,2015,Acrylic,canvas,,,Still Life,,
Brown Chair,8,10,1974,pastel,paper,210,,Still Life,,
Chair with Blue Background,8,10,1993,pastel,paper,210,,Still Life,,
Chair with Pink Background,8,10,1993,pastel,paper,210,,Still Life,,
Feather and Landscapes,11,14,2007,Pastel,Paper,210,,Still Life,,
Still Life,8,10,1980,Watercolor,paper,210,,Still Life,,
Whisp Broom Ladies,19,25,1989,pastel,paper,,TRUE,Still Life,,
"Stone in the Middle of the Road, As a Bridge",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, As the Leaves Fall",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, Could Not Stop Nature",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, Diverts the Path",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, From Both Sides",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, In the Woods",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, It Grows On You",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, It is the Small Things That Make a Difference",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, Split in Two",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
"Stone in the Middle of the Road, Split in Two, a Different View",10,10,2015,Acrylic,canvas,260,,Stone in the Middle of the Road,,
7 13 09 Morning,10,8,2009,Watercolor,paper,250,,"Sunrise, Sunset",,
7 13 09 Morning 2,10,8,2009,Watercolor ,paper,250,,"Sunrise, Sunset",,
7 13 09 Morning 3,10,8,2009,Watercolor,paper,250,,"Sunrise, Sunset",,
7 16 09 Evening,10,8,2009,Watercolor,paper,250,,"Sunrise, Sunset",,
7 16 09 Morning,10,8,2009,Watercolor,paper,250,,"Sunrise, Sunset",,
7 23 09 Morning,8,10,2009,Watercolor,paper,250,,"Sunrise, Sunset",,
7 24 09 Morning,10,8,2009,Watercolor,paper,250,,"Sunrise, Sunset",,
7 24 09 Sunset,10,8,2009,Watercolor ,paper,250,,"Sunrise, Sunset",,
School Doors,10,8,2008,Watercolor ,paper,250,,"Sunrise, Sunset",,
Sea Isle City Sunrise,11,14,2015,Watercolor,paper,300,,"Sunrise, Sunset",,
Sea Isle City Sunrise 2,11,14,2015,Watercolor,paper,300,,"Sunrise, Sunset",,
Stone Tavern Lake Morning,8,10,2009,Watercolor,paper,210,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 I",10,8,2008,Watercolor ,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 II",10,8,2008,Watercolor ,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 III",10,8,2008,Watercolor,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 IV",10,8,2008,Watercolor ,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 IX",10,8,2008,Watercolor,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 V",10,8,2008,Watercolor,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 VI",10,8,2008,Watercolor,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 VII",10,8,2008,Watercolor,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 VIII",10,8,2008,Watercolor,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 X",10,8,2008,Watercolor ,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 XI",10,8,2008,Watercolor ,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset 2008 XII",10,8,2008,Watercolor,paper,250,,"Sunrise, Sunset",,
"Sunrise, Sunset XIII",8,10,2008,Watercolor,paper,210,,"Sunrise, Sunset",,
"Sunrise, Sunset XIV",8,10,2008,Watercolor,paper,210,,"Sunrise, Sunset",,
"Sunrise, Sunset XIX",8,10,2008,Watercolor,paper,210,,"Sunrise, Sunset",,
"Sunrise, Sunset XV",8,10,2008,Watercolor,paper,210,,"Sunrise, Sunset",,
Sunset Pikes Peak,11,14,2008,Colored Pencil,paper,75,,"Sunrise, Sunset",,
Aunt Tullie's Living Room,11,14,2017,Acrylic,paper,400,TRUE,The Professor's Interiors,,
Director's Office,11,14,2016,Acrylic,paper,400,,The Professor's Interiors,,
English Living Room,14,11,2016,Watercolor,paper,,TRUE,The Professor's Interiors,,
Favorite Restaurant in Italy,11,14,2016,Acrylic ,paper,400,,The Professor's Interiors,,
Harry's Enclosed Porch,11,14,2016,Acrylic ,paper,400,,The Professor's Interiors,,
Harry's Living Room,14,11,2016,Acrylic,paper,400,,The Professor's Interiors,,
Lydia's for Thanksgiving,22,28,2017,Acrylic,paper,1000,,The Professor's Interiors,,
Museum Court Yard,11,14,2017,Acrylic ,paper,400,,The Professor's Interiors,,
Tea Time at the Professor's,14,11,2015,Watercolor,paper,400,,The Professor's Interiors,,
The Professor's Front Hall,11,14,2015,Acrylic,paper,400,,The Professor's Interiors,,
The Professor's Study,14,11,2015,Acrylic,paper,400,,The Professor's Interiors,,
The Professor's Unattached Porch,14,11,2017,Acrylic,paper,400,,The Professor's Interiors,,
The Tiled Hallway,22,28,2020,Watercolor,paper,1000,,The Professor's Interiors,,
Yale Library,11,14,2019,Watercolor,paper,400,,The Professor's Interiors,,
Hackberry,10,10,2019,Acrylic,canvas,260,,Trees,,
Live Oak,10,10,2019,Acrylic,canvas,260,,Trees,,
Looking Up,8,10,2009,Watercolor,paper,210,,Trees,235,
Assunpink Winter Field,11,14,2016,Acrylic,canvas,400,,Winter Landscape,,
"Assunpink Winter Field, Early Thaw",11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Birds in Winter Field,18,24,2017,Acrylic,canvas,1000,,Winter Landscape,,
Empty Box Creek Winter Sunrise,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Empty Box Creek Winter Sunset,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Entrance to Field,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Snowy Field with Fence,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Snowy Field with Golden Trees,11,14,2016,Acrylic,canvas,400,,Winter Landscape,,
Sunset on Snowy Fields,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Winter Farm,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Winter Farm Field,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Winter Farm Field 2,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Winter Path to Field,11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
"Winter Road, at Sunset",11,14,2015,Acrylic,canvas,400,,Winter Landscape,,
Rooted,10,10,2017,Acrylic,canvas,260,,Roots,,
Rooted,10,10,2017,Acrylic,canvas,260,,Abstract and Fantasy,,
